[2020-09-16 15:58:15,573][werkzeug][INFO] -  * Running on http://127.0.0.1:8081/ (Press CTRL+C to quit)
[2020-09-16 16:01:49,975][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:49] "[37mGET /get_label_value_on_image/person/0819__09_31_48__i2172303__gcn0137080__0139473__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:49,976][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:49] "[37mGET /marked_image/0819__09_31_48__i2172303__gcn0137080__0139473__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:51,971][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:51] "[37mGET /set_value/0819__09_31_48__i2172303__gcn0137080__0139473__person___________.png/person/non_clear HTTP/1.1[0m" 200 -
[2020-09-16 16:01:52,597][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:52] "[37mGET /get_label_value_on_image/person/0820__14_11_13__i4190920__gcn0425243__0425673__person_____L1____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:52,603][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:52] "[37mGET /marked_image/0820__14_11_13__i4190920__gcn0425243__0425673__person_____L1____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:54,794][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:54] "[37mGET /get_label_value_on_image/person/0821__09_11_04__i5466520__gcn0515385__0515394__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:54,801][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:54] "[37mGET /marked_image/0821__09_11_04__i5466520__gcn0515385__0515394__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:57,001][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:57] "[37mGET /set_value/0821__09_11_04__i5466520__gcn0515385__0515394__person___________.png/person/non_clear HTTP/1.1[0m" 200 -
[2020-09-16 16:01:57,909][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:57] "[37mGET /get_label_value_on_image/person/0826__09_13_08__i0570307__gcn1598422201092265__1598422384937855__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:57,911][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:57] "[37mGET /marked_image/0826__09_13_08__i0570307__gcn1598422201092265__1598422384937855__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:02:13,030][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:02:13] "[37mGET /get_label_value_on_image/person/0826__09_14_20__i0571123__gcn1598422458369550__1598422458369550__multy__P2_L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:02:13,034][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:02:13] "[37mGET /marked_image/0826__09_14_20__i0571123__gcn1598422458369550__1598422458369550__multy__P2_L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:02:17,650][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:02:17] "[37mGET /set_value/0826__09_14_20__i0571123__gcn1598422458369550__1598422458369550__multy__P2_L2____.png/person/multy HTTP/1.1[0m" 200 -
[2020-09-16 16:02:21,797][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:02:21] "[37mGET /get_label_value_on_image/person/0827__19_44_06__i0441088__gcn1598546609219503__1598546645194962__person__P1_L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:02:21,802][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:02:21] "[37mGET /marked_image/0827__19_44_06__i0441088__gcn1598546609219503__1598546645194962__person__P1_L2____.png HTTP/1.1[0m" 200 -
